Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org76,1,B2,B02,Media,0,uM,negative_control,3185,B,2
Org76,1,B3,B03,Staurosporine,20,uM,positive_control,97,B,3
Org76,1,B4,B04,Staurosporine,10,uM,positive_control,122,B,4
Org76,1,B5,B05,Staurosporine,7.5,uM,positive_control,68,B,5
Org76,1,B6,B06,Staurosporine,5,uM,positive_control,87,B,6
Org76,1,B7,B07,Staurosporine,2,uM,positive_control,180,B,7
Org76,1,B8,B08,Staurosporine,1,uM,positive_control,97,B,8
Org76,1,B9,B09,Staurosporine,0.75,uM,positive_control,76,B,9
Org76,1,B10,B10,Staurosporine,0.5,uM,positive_control,71,B,10
Org76,1,B11,B11,Staurosporine,0.2,uM,positive_control,210,B,11
Org76,1,B12,B12,Staurosporine,0.1,uM,positive_control,946,B,12
Org76,1,B13,B13,Media,0,uM,negative_control,3284,B,13
Org76,1,B14,B14,Carboplatin,20,uM,Sample,2110,B,14
Org76,1,B15,B15,Carboplatin,10,uM,Sample,2748,B,15
Org76,1,B16,B16,Carboplatin,7.5,uM,Sample,2868,B,16
Org76,1,B17,B17,Carboplatin,5,uM,Sample,3258,B,17
Org76,1,B18,B18,Carboplatin,2,uM,Sample,3169,B,18
Org76,1,B19,B19,Carboplatin,1,uM,Sample,2711,B,19
Org76,1,B20,B20,Carboplatin,0.75,uM,Sample,3170,B,20
Org76,1,B21,B21,Carboplatin,0.5,uM,Sample,2364,B,21
Org76,1,B22,B22,Carboplatin,0.2,uM,Sample,2395,B,22
Org76,1,B23,B23,Carboplatin,0.1,uM,Sample,2681,B,23
Org76,1,C2,C02,TritonX,0,uM,negative_control,2528,C,2
Org76,1,C3,C03,5-Fluouracil,20,uM,Sample,2249,C,3
Org76,1,C4,C04,5-Fluouracil,10,uM,Sample,2497,C,4
Org76,1,C5,C05,5-Fluouracil,7.5,uM,Sample,3649,C,5
Org76,1,C6,C06,5-Fluouracil,5,uM,Sample,3194,C,6
Org76,1,C7,C07,5-Fluouracil,2,uM,Sample,3533,C,7
Org76,1,C8,C08,5-Fluouracil,1,uM,Sample,3647,C,8
Org76,1,C9,C09,5-Fluouracil,0.75,uM,Sample,3434,C,9
Org76,1,C10,C10,5-Fluouracil,0.5,uM,Sample,2815,C,10
Org76,1,C11,C11,5-Fluouracil,0.2,uM,Sample,2999,C,11
Org76,1,C12,C12,5-Fluouracil,0.1,uM,Sample,3383,C,12
Org76,1,C13,C13,TritonX,0,uM,negative_control,2343,C,13
Org76,1,C14,C14,Docetaxel,20,uM,Sample,2105,C,14
Org76,1,C15,C15,Docetaxel,10,uM,Sample,1638,C,15
Org76,1,C16,C16,Docetaxel,7.5,uM,Sample,1366,C,16
Org76,1,C17,C17,Docetaxel,5,uM,Sample,1443,C,17
Org76,1,C18,C18,Docetaxel,2,uM,Sample,1075,C,18
Org76,1,C19,C19,Docetaxel,1,uM,Sample,1150,C,19
Org76,1,C20,C20,Docetaxel,0.75,uM,Sample,1368,C,20
Org76,1,C21,C21,Docetaxel,0.5,uM,Sample,1691,C,21
Org76,1,C22,C22,Docetaxel,0.2,uM,Sample,1478,C,22
Org76,1,C23,C23,Docetaxel,0.1,uM,Sample,1381,C,23
Org76,1,D2,D02,DMSO,0,uM,negative_control,3390,D,2
Org76,1,D3,D03,Leucovorin,20,uM,Sample,3784,D,3
Org76,1,D4,D04,Leucovorin,10,uM,Sample,4342,D,4
Org76,1,D5,D05,Leucovorin,7.5,uM,Sample,3195,D,5
Org76,1,D6,D06,Leucovorin,5,uM,Sample,3689,D,6
Org76,1,D7,D07,Leucovorin,2,uM,Sample,3592,D,7
Org76,1,D8,D08,Leucovorin,1,uM,Sample,4097,D,8
Org76,1,D9,D09,Leucovorin,0.75,uM,Sample,3337,D,9
Org76,1,D10,D10,Leucovorin,0.5,uM,Sample,3737,D,10
Org76,1,D11,D11,Leucovorin,0.2,uM,Sample,3024,D,11
Org76,1,D12,D12,Leucovorin,0.1,uM,Sample,3602,D,12
Org76,1,D13,D13,DMSO,0,uM,negative_control,2419,D,13
Org76,1,D14,D14,Cisplatin,20,uM,Sample,3565,D,14
Org76,1,D15,D15,Cisplatin,10,uM,Sample,2791,D,15
Org76,1,D16,D16,Cisplatin,7.5,uM,Sample,2264,D,16
Org76,1,D17,D17,Cisplatin,5,uM,Sample,2971,D,17
Org76,1,D18,D18,Cisplatin,2,uM,Sample,2717,D,18
Org76,1,D19,D19,Cisplatin,1,uM,Sample,2791,D,19
Org76,1,D20,D20,Cisplatin,0.75,uM,Sample,2827,D,20
Org76,1,D21,D21,Cisplatin,0.5,uM,Sample,3027,D,21
Org76,1,D22,D22,Cisplatin,0.2,uM,Sample,2853,D,22
Org76,1,D23,D23,Cisplatin,0.1,uM,Sample,3014,D,23
Org76,1,E2,E02,Media,0,uM,negative_control,2655,E,2
Org76,1,E3,E03,Irinotecan,20,uM,Sample,1090,E,3
Org76,1,E4,E04,Irinotecan,10,uM,Sample,1585,E,4
Org76,1,E5,E05,Irinotecan,7.5,uM,Sample,1525,E,5
Org76,1,E6,E06,Irinotecan,5,uM,Sample,2087,E,6
Org76,1,E7,E07,Irinotecan,2,uM,Sample,2397,E,7
Org76,1,E8,E08,Irinotecan,1,uM,Sample,2435,E,8
Org76,1,E9,E09,Irinotecan,0.75,uM,Sample,2381,E,9
Org76,1,E10,E10,Irinotecan,0.5,uM,Sample,3236,E,10
Org76,1,E11,E11,Irinotecan,0.2,uM,Sample,3447,E,11
Org76,1,E12,E12,Irinotecan,0.1,uM,Sample,3775,E,12
Org76,1,E13,E13,Media,0,uM,negative_control,2467,E,13
Org76,1,E14,E14,Paclitaxel,20,uM,Sample,1665,E,14
Org76,1,E15,E15,Paclitaxel,10,uM,Sample,1867,E,15
Org76,1,E16,E16,Paclitaxel,7.5,uM,Sample,1742,E,16
Org76,1,E17,E17,Paclitaxel,5,uM,Sample,1322,E,17
Org76,1,E18,E18,Paclitaxel,2,uM,Sample,1732,E,18
Org76,1,E19,E19,Paclitaxel,1,uM,Sample,1554,E,19
Org76,1,E20,E20,Paclitaxel,0.75,uM,Sample,1553,E,20
Org76,1,E21,E21,Paclitaxel,0.5,uM,Sample,1434,E,21
Org76,1,E22,E22,Paclitaxel,0.2,uM,Sample,1577,E,22
Org76,1,E23,E23,Paclitaxel,0.1,uM,Sample,1518,E,23
Org76,1,F2,F02,TritonX,0,uM,negative_control,2668,F,2
Org76,1,F3,F03,Oxaliplatin,20,uM,Sample,2767,F,3
Org76,1,F4,F04,Oxaliplatin,10,uM,Sample,2849,F,4
Org76,1,F5,F05,Oxaliplatin,7.5,uM,Sample,3074,F,5
Org76,1,F6,F06,Oxaliplatin,5,uM,Sample,3048,F,6
Org76,1,F7,F07,Oxaliplatin,2,uM,Sample,3061,F,7
Org76,1,F8,F08,Oxaliplatin,1,uM,Sample,3969,F,8
Org76,1,F9,F09,Oxaliplatin,0.75,uM,Sample,4487,F,9
Org76,1,F10,F10,Oxaliplatin,0.5,uM,Sample,4148,F,10
Org76,1,F11,F11,Oxaliplatin,0.2,uM,Sample,3268,F,11
Org76,1,F12,F12,Oxaliplatin,0.1,uM,Sample,4649,F,12
Org76,1,F13,F13,TritonX,0,uM,negative_control,3182,F,13
Org76,1,F14,F14,Topotecan,20,uM,positive_control,761,F,14
Org76,1,F15,F15,Topotecan,10,uM,positive_control,867,F,15
Org76,1,F16,F16,Topotecan,7.5,uM,positive_control,732,F,16
Org76,1,F17,F17,Topotecan,5,uM,positive_control,651,F,17
Org76,1,F18,F18,Topotecan,2,uM,Sample,802,F,18
