Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org65,2,B2,B02,Media,0,uM,negative_control,17247,B,2
Org65,2,B3,B03,Staurosporine,20,uM,positive_control,454,B,3
Org65,2,B4,B04,Staurosporine,10,uM,positive_control,538,B,4
Org65,2,B5,B05,Staurosporine,7.5,uM,positive_control,1826,B,5
Org65,2,B6,B06,Staurosporine,5,uM,positive_control,3644,B,6
Org65,2,B7,B07,Staurosporine,2,uM,positive_control,2274,B,7
Org65,2,B8,B08,Staurosporine,1,uM,positive_control,1397,B,8
Org65,2,B9,B09,Staurosporine,0.75,uM,positive_control,569,B,9
Org65,2,B10,B10,Staurosporine,0.5,uM,positive_control,1773,B,10
Org65,2,B11,B11,Staurosporine,0.2,uM,positive_control,1843,B,11
Org65,2,B12,B12,Staurosporine,0.1,uM,positive_control,4991,B,12
Org65,2,B13,B13,Media,0,uM,negative_control,19791,B,13
Org65,2,B14,B14,Carboplatin,20,uM,Sample,9451,B,14
Org65,2,B15,B15,Carboplatin,10,uM,Sample,9726,B,15
Org65,2,B16,B16,Carboplatin,7.5,uM,Sample,13893,B,16
Org65,2,B17,B17,Carboplatin,5,uM,Sample,12415,B,17
Org65,2,B18,B18,Carboplatin,2,uM,Sample,14136,B,18
Org65,2,B19,B19,Carboplatin,1,uM,Sample,13320,B,19
Org65,2,B20,B20,Carboplatin,0.75,uM,Sample,15671,B,20
Org65,2,B21,B21,Carboplatin,0.5,uM,Sample,14218,B,21
Org65,2,B22,B22,Carboplatin,0.2,uM,Sample,12835,B,22
Org65,2,B23,B23,Carboplatin,0.1,uM,Sample,13264,B,23
Org65,2,C2,C02,TritonX,0,uM,negative_control,10321,C,2
Org65,2,C3,C03,5-Fluouracil,20,uM,Sample,12359,C,3
Org65,2,C4,C04,5-Fluouracil,10,uM,Sample,12388,C,4
Org65,2,C5,C05,5-Fluouracil,7.5,uM,Sample,13498,C,5
Org65,2,C6,C06,5-Fluouracil,5,uM,Sample,13962,C,6
Org65,2,C7,C07,5-Fluouracil,2,uM,Sample,12962,C,7
Org65,2,C8,C08,5-Fluouracil,1,uM,Sample,16011,C,8
Org65,2,C9,C09,5-Fluouracil,0.75,uM,Sample,15723,C,9
Org65,2,C10,C10,5-Fluouracil,0.5,uM,Sample,14831,C,10
Org65,2,C11,C11,5-Fluouracil,0.2,uM,Sample,19216,C,11
Org65,2,C12,C12,5-Fluouracil,0.1,uM,Sample,16395,C,12
Org65,2,C13,C13,TritonX,0,uM,negative_control,10049,C,13
Org65,2,C14,C14,Docetaxel,20,uM,Sample,7195,C,14
Org65,2,C15,C15,Docetaxel,10,uM,Sample,9358,C,15
Org65,2,C16,C16,Docetaxel,7.5,uM,Sample,7172,C,16
Org65,2,C17,C17,Docetaxel,5,uM,Sample,8588,C,17
Org65,2,C18,C18,Docetaxel,2,uM,Sample,7556,C,18
Org65,2,C19,C19,Docetaxel,1,uM,Sample,8113,C,19
Org65,2,C20,C20,Docetaxel,0.75,uM,Sample,6623,C,20
Org65,2,C21,C21,Docetaxel,0.5,uM,Sample,7108,C,21
Org65,2,C22,C22,Docetaxel,0.2,uM,Sample,6833,C,22
Org65,2,C23,C23,Docetaxel,0.1,uM,Sample,7331,C,23
Org65,2,D2,D02,DMSO,0,uM,negative_control,15528,D,2
Org65,2,D3,D03,Leucovorin,20,uM,Sample,16923,D,3
Org65,2,D4,D04,Leucovorin,10,uM,Sample,15853,D,4
Org65,2,D5,D05,Leucovorin,7.5,uM,Sample,17412,D,5
Org65,2,D6,D06,Leucovorin,5,uM,Sample,17750,D,6
Org65,2,D7,D07,Leucovorin,2,uM,Sample,16088,D,7
Org65,2,D8,D08,Leucovorin,1,uM,Sample,18616,D,8
Org65,2,D9,D09,Leucovorin,0.75,uM,Sample,17453,D,9
Org65,2,D10,D10,Leucovorin,0.5,uM,Sample,17583,D,10
Org65,2,D11,D11,Leucovorin,0.2,uM,Sample,18736,D,11
Org65,2,D12,D12,Leucovorin,0.1,uM,Sample,16479,D,12
Org65,2,D13,D13,DMSO,0,uM,negative_control,16814,D,13
Org65,2,D14,D14,Cisplatin,20,uM,Sample,7648,D,14
Org65,2,D15,D15,Cisplatin,10,uM,Sample,9174,D,15
Org65,2,D16,D16,Cisplatin,7.5,uM,Sample,11432,D,16
Org65,2,D17,D17,Cisplatin,5,uM,Sample,11860,D,17
Org65,2,D18,D18,Cisplatin,2,uM,Sample,15419,D,18
Org65,2,D19,D19,Cisplatin,1,uM,Sample,15114,D,19
Org65,2,D20,D20,Cisplatin,0.75,uM,Sample,15491,D,20
Org65,2,D21,D21,Cisplatin,0.5,uM,Sample,20188,D,21
Org65,2,D22,D22,Cisplatin,0.2,uM,Sample,14166,D,22
Org65,2,D23,D23,Cisplatin,0.1,uM,Sample,15135,D,23
Org65,2,E2,E02,Media,0,uM,negative_control,14338,E,2
Org65,2,E3,E03,Irinotecan,20,uM,Sample,4552,E,3
Org65,2,E4,E04,Irinotecan,10,uM,Sample,5874,E,4
Org65,2,E5,E05,Irinotecan,7.5,uM,Sample,7298,E,5
Org65,2,E6,E06,Irinotecan,5,uM,Sample,8219,E,6
Org65,2,E7,E07,Irinotecan,2,uM,Sample,12705,E,7
Org65,2,E8,E08,Irinotecan,1,uM,Sample,20641,E,8
Org65,2,E9,E09,Irinotecan,0.75,uM,Sample,19006,E,9
Org65,2,E10,E10,Irinotecan,0.5,uM,Sample,17402,E,10
Org65,2,E11,E11,Irinotecan,0.2,uM,Sample,19311,E,11
Org65,2,E12,E12,Irinotecan,0.1,uM,Sample,17625,E,12
Org65,2,E13,E13,Media,0,uM,negative_control,15095,E,13
Org65,2,E14,E14,Paclitaxel,20,uM,Sample,8507,E,14
Org65,2,E15,E15,Paclitaxel,10,uM,Sample,9305,E,15
Org65,2,E16,E16,Paclitaxel,7.5,uM,Sample,8145,E,16
Org65,2,E17,E17,Paclitaxel,5,uM,Sample,8828,E,17
Org65,2,E18,E18,Paclitaxel,2,uM,Sample,7200,E,18
Org65,2,E19,E19,Paclitaxel,1,uM,Sample,6944,E,19
Org65,2,E20,E20,Paclitaxel,0.75,uM,Sample,7221,E,20
Org65,2,E21,E21,Paclitaxel,0.5,uM,Sample,6354,E,21
Org65,2,E22,E22,Paclitaxel,0.2,uM,Sample,7055,E,22
Org65,2,E23,E23,Paclitaxel,0.1,uM,Sample,5498,E,23
Org65,2,F2,F02,TritonX,0,uM,negative_control,10115,F,2
Org65,2,F3,F03,Oxaliplatin,20,uM,Sample,8846,F,3
Org65,2,F4,F04,Oxaliplatin,10,uM,Sample,12253,F,4
Org65,2,F5,F05,Oxaliplatin,7.5,uM,Sample,13739,F,5
Org65,2,F6,F06,Oxaliplatin,5,uM,Sample,12881,F,6
Org65,2,F7,F07,Oxaliplatin,2,uM,Sample,15972,F,7
Org65,2,F8,F08,Oxaliplatin,1,uM,Sample,16802,F,8
Org65,2,F9,F09,Oxaliplatin,0.75,uM,Sample,19706,F,9
Org65,2,F10,F10,Oxaliplatin,0.5,uM,Sample,17968,F,10
Org65,2,F11,F11,Oxaliplatin,0.2,uM,Sample,18443,F,11
Org65,2,F12,F12,Oxaliplatin,0.1,uM,Sample,17954,F,12
Org65,2,F13,F13,TritonX,0,uM,negative_control,13583,F,13
Org65,2,F14,F14,Topotecan,20,uM,positive_control,3610,F,14
Org65,2,F15,F15,Topotecan,10,uM,positive_control,3724,F,15
Org65,2,F16,F16,Topotecan,7.5,uM,positive_control,3305,F,16
Org65,2,F17,F17,Topotecan,5,uM,positive_control,3516,F,17
Org65,2,F18,F18,Topotecan,2,uM,positive_control,3640,F,18
Org65,2,F19,F19,Topotecan,1,uM,positive_control,3933,F,19
Org65,2,F20,F20,Topotecan,0.75,uM,positive_control,4792,F,20
Org65,2,F21,F21,Topotecan,0.5,uM,positive_control,5604,F,21
Org65,2,F22,F22,Topotecan,0.2,uM,Sample,5825,F,22
Org65,2,F23,F23,Topotecan,0.1,uM,Sample,6447,F,23
Org65,2,G2,G02,DMSO,0,uM,negative_control,14634,G,2
Org65,2,G3,G03,Doxorubicin,20,uM,positive_control,2839,G,3
Org65,2,G4,G04,Doxorubicin,10,uM,positive_control,824,G,4
Org65,2,G5,G05,Doxorubicin,7.5,uM,positive_control,1172,G,5
Org65,2,G6,G06,Doxorubicin,5,uM,positive_control,3742,G,6
Org65,2,G7,G07,Doxorubicin,2,uM,Sample,7392,G,7
Org65,2,G8,G08,Doxorubicin,1,uM,Sample,10430,G,8
Org65,2,G9,G09,Doxorubicin,0.75,uM,Sample,11748,G,9
Org65,2,G10,G10,Doxorubicin,0.5,uM,Sample,17214,G,10
Org65,2,G11,G11,Doxorubicin,0.2,uM,Sample,20266,G,11
Org65,2,G12,G12,Doxorubicin,0.1,uM,Sample,18263,G,12
Org65,2,G13,G13,DMSO,0,uM,negative_control,17139,G,13
Org65,2,G14,G14,Mitomycin C,20,uM,positive_control,1941,G,14
Org65,2,G15,G15,Mitomycin C,10,uM,positive_control,1063,G,15
Org65,2,G16,G16,Mitomycin C,7.5,uM,positive_control,1383,G,16
Org65,2,G17,G17,Mitomycin C,5,uM,positive_control,2741,G,17
Org65,2,G18,G18,Mitomycin C,2,uM,Sample,7119,G,18
Org65,2,G19,G19,Mitomycin C,1,uM,Sample,9706,G,19
Org65,2,G20,G20,Mitomycin C,0.75,uM,Sample,12219,G,20
Org65,2,G21,G21,Mitomycin C,0.5,uM,Sample,11843,G,21
Org65,2,G22,G22,Mitomycin C,0.2,uM,Sample,14728,G,22
Org65,2,G23,G23,Mitomycin C,0.1,uM,Sample,15947,G,23
Org65,2,H2,H02,Media,0,uM,negative_control,17388,H,2
Org65,2,H3,H03,Gemcitabine,20,uM,Sample,6173,H,3
Org65,2,H4,H04,Gemcitabine,10,uM,Sample,6276,H,4
Org65,2,H5,H05,Gemcitabine,7.5,uM,Sample,6476,H,5
Org65,2,H6,H06,Gemcitabine,5,uM,Sample,7112,H,6
Org65,2,H7,H07,Gemcitabine,2,uM,Sample,7041,H,7
Org65,2,H8,H08,Gemcitabine,1,uM,Sample,8173,H,8
Org65,2,H9,H09,Gemcitabine,0.75,uM,Sample,7388,H,9
Org65,2,H10,H10,Gemcitabine,0.5,uM,Sample,8529,H,10
Org65,2,H11,H11,Gemcitabine,0.2,uM,Sample,7743,H,11
