Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org49,2,B2,B02,Media,0,uM,negative_control,1415,B,2
Org49,2,B3,B03,Staurosporine,20,uM,positive_control,24,B,3
Org49,2,B4,B04,Staurosporine,10,uM,positive_control,20,B,4
Org49,2,B5,B05,Staurosporine,7.5,uM,positive_control,14,B,5
Org49,2,B6,B06,Staurosporine,5,uM,positive_control,21,B,6
Org49,2,B7,B07,Staurosporine,2,uM,positive_control,30,B,7
Org49,2,B8,B08,Staurosporine,1,uM,positive_control,34,B,8
Org49,2,B9,B09,Staurosporine,0.75,uM,positive_control,29,B,9
Org49,2,B10,B10,Staurosporine,0.5,uM,positive_control,49,B,10
Org49,2,B11,B11,Staurosporine,0.2,uM,positive_control,48,B,11
Org49,2,B12,B12,Staurosporine,0.1,uM,positive_control,132,B,12
Org49,2,B13,B13,Media,0,uM,negative_control,767,B,13
Org49,2,B14,B14,Carboplatin,20,uM,Sample,428,B,14
Org49,2,B15,B15,Carboplatin,10,uM,Sample,450,B,15
Org49,2,B16,B16,Carboplatin,7.5,uM,Sample,520,B,16
Org49,2,B17,B17,Carboplatin,5,uM,Sample,755,B,17
Org49,2,B18,B18,Carboplatin,2,uM,Sample,422,B,18
Org49,2,B19,B19,Carboplatin,1,uM,Sample,543,B,19
Org49,2,B20,B20,Carboplatin,0.75,uM,Sample,827,B,20
Org49,2,B21,B21,Carboplatin,0.5,uM,Sample,759,B,21
Org49,2,B22,B22,Carboplatin,0.2,uM,Sample,715,B,22
Org49,2,B23,B23,Carboplatin,0.1,uM,Sample,1982,B,23
Org49,2,C2,C02,TritonX,0,uM,negative_control,879,C,2
Org49,2,C3,C03,5-Fluouracil,20,uM,Sample,676,C,3
Org49,2,C4,C04,5-Fluouracil,10,uM,Sample,635,C,4
Org49,2,C5,C05,5-Fluouracil,7.5,uM,Sample,1037,C,5
Org49,2,C6,C06,5-Fluouracil,5,uM,Sample,861,C,6
Org49,2,C7,C07,5-Fluouracil,2,uM,Sample,979,C,7
