Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org55,2,B2,B02,Media,0,uM,negative_control,19688,B,2
Org55,2,B3,B03,Staurosporine,20,uM,positive_control,348,B,3
Org55,2,B4,B04,Staurosporine,10,uM,positive_control,355,B,4
Org55,2,B5,B05,Staurosporine,7.5,uM,positive_control,407,B,5
Org55,2,B6,B06,Staurosporine,5,uM,positive_control,352,B,6
Org55,2,B7,B07,Staurosporine,2,uM,positive_control,362,B,7
Org55,2,B8,B08,Staurosporine,1,uM,positive_control,1518,B,8
Org55,2,B9,B09,Staurosporine,0.75,uM,positive_control,3029,B,9
Org55,2,B10,B10,Staurosporine,0.5,uM,positive_control,5083,B,10
Org55,2,B11,B11,Staurosporine,0.2,uM,positive_control,7468,B,11
Org55,2,B12,B12,Staurosporine,0.1,uM,positive_control,6639,B,12
Org55,2,B13,B13,Media,0,uM,negative_control,15508,B,13
Org55,2,B14,B14,Carboplatin,20,uM,Sample,11654,B,14
Org55,2,B15,B15,Carboplatin,10,uM,Sample,13055,B,15
Org55,2,B16,B16,Carboplatin,7.5,uM,Sample,13504,B,16
Org55,2,B17,B17,Carboplatin,5,uM,Sample,14318,B,17
Org55,2,B18,B18,Carboplatin,2,uM,Sample,15322,B,18
Org55,2,B19,B19,Carboplatin,1,uM,Sample,15915,B,19
Org55,2,B20,B20,Carboplatin,0.75,uM,Sample,16123,B,20
Org55,2,B21,B21,Carboplatin,0.5,uM,Sample,16660,B,21
Org55,2,B22,B22,Carboplatin,0.2,uM,Sample,17221,B,22
Org55,2,B23,B23,Carboplatin,0.1,uM,Sample,17600,B,23
Org55,2,C2,C02,TritonX,0,uM,negative_control,14566,C,2
Org55,2,C3,C03,5-Fluouracil,20,uM,Sample,17913,C,3
Org55,2,C4,C04,5-Fluouracil,10,uM,Sample,19258,C,4
Org55,2,C5,C05,5-Fluouracil,7.5,uM,Sample,19359,C,5
Org55,2,C6,C06,5-Fluouracil,5,uM,Sample,18117,C,6
Org55,2,C7,C07,5-Fluouracil,2,uM,Sample,15943,C,7
Org55,2,C8,C08,5-Fluouracil,1,uM,Sample,14959,C,8
Org55,2,C9,C09,5-Fluouracil,0.75,uM,Sample,15244,C,9
Org55,2,C10,C10,5-Fluouracil,0.5,uM,Sample,15726,C,10
Org55,2,C11,C11,5-Fluouracil,0.2,uM,Sample,7902,C,11
Org55,2,C12,C12,5-Fluouracil,0.1,uM,Sample,16053,C,12
Org55,2,C13,C13,TritonX,0,uM,negative_control,11970,C,13
Org55,2,C14,C14,Docetaxel,20,uM,Sample,13095,C,14
Org55,2,C15,C15,Docetaxel,10,uM,Sample,11451,C,15
Org55,2,C16,C16,Docetaxel,7.5,uM,Sample,12308,C,16
Org55,2,C17,C17,Docetaxel,5,uM,Sample,11766,C,17
Org55,2,C18,C18,Docetaxel,2,uM,Sample,11549,C,18
Org55,2,C19,C19,Docetaxel,1,uM,Sample,9946,C,19
Org55,2,C20,C20,Docetaxel,0.75,uM,Sample,11087,C,20
Org55,2,C21,C21,Docetaxel,0.5,uM,Sample,10600,C,21
Org55,2,C22,C22,Docetaxel,0.2,uM,Sample,9855,C,22
Org55,2,C23,C23,Docetaxel,0.1,uM,Sample,9674,C,23
Org55,2,D2,D02,DMSO,0,uM,negative_control,15216,D,2
Org55,2,D3,D03,Leucovorin,20,uM,Sample,14898,D,3
Org55,2,D4,D04,Leucovorin,10,uM,Sample,13970,D,4
Org55,2,D5,D05,Leucovorin,7.5,uM,Sample,15500,D,5
Org55,2,D6,D06,Leucovorin,5,uM,Sample,13935,D,6
Org55,2,D7,D07,Leucovorin,2,uM,Sample,14272,D,7
Org55,2,D8,D08,Leucovorin,1,uM,Sample,13381,D,8
Org55,2,D9,D09,Leucovorin,0.75,uM,Sample,13587,D,9
Org55,2,D10,D10,Leucovorin,0.5,uM,Sample,14105,D,10
Org55,2,D11,D11,Leucovorin,0.2,uM,Sample,13137,D,11
Org55,2,D12,D12,Leucovorin,0.1,uM,Sample,14917,D,12
Org55,2,D13,D13,DMSO,0,uM,negative_control,14273,D,13
Org55,2,D14,D14,Cisplatin,20,uM,Sample,6248,D,14
