Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org46,1,B2,B02,Media,0,uM,negative_control,2537,B,2
Org46,1,B3,B03,Staurosporine,20,uM,positive_control,66,B,3
Org46,1,B4,B04,Staurosporine,10,uM,positive_control,55,B,4
Org46,1,B5,B05,Staurosporine,7.5,uM,positive_control,114,B,5
Org46,1,B6,B06,Staurosporine,5,uM,positive_control,162,B,6
Org46,1,B7,B07,Staurosporine,2,uM,positive_control,171,B,7
Org46,1,B8,B08,Staurosporine,1,uM,positive_control,204,B,8
Org46,1,B9,B09,Staurosporine,0.75,uM,positive_control,224,B,9
Org46,1,B10,B10,Staurosporine,0.5,uM,positive_control,332,B,10
Org46,1,B11,B11,Staurosporine,0.2,uM,positive_control,798,B,11
Org46,1,B12,B12,Staurosporine,0.1,uM,positive_control,1260,B,12
Org46,1,B13,B13,Media,0,uM,negative_control,2639,B,13
Org46,1,B14,B14,Carboplatin,20,uM,Sample,1719,B,14
Org46,1,B15,B15,Carboplatin,10,uM,Sample,2318,B,15
Org46,1,B16,B16,Carboplatin,7.5,uM,Sample,2471,B,16
Org46,1,B17,B17,Carboplatin,5,uM,Sample,2940,B,17
Org46,1,B18,B18,Carboplatin,2,uM,Sample,2509,B,18
Org46,1,B19,B19,Carboplatin,1,uM,Sample,2624,B,19
Org46,1,B20,B20,Carboplatin,0.75,uM,Sample,2498,B,20
Org46,1,B21,B21,Carboplatin,0.5,uM,Sample,2830,B,21
Org46,1,B22,B22,Carboplatin,0.2,uM,Sample,3063,B,22
Org46,1,B23,B23,Carboplatin,0.1,uM,Sample,2577,B,23
Org46,1,C2,C02,TritonX,0,uM,negative_control,2670,C,2
Org46,1,C3,C03,5-Fluouracil,20,uM,Sample,2196,C,3
Org46,1,C4,C04,5-Fluouracil,10,uM,Sample,2331,C,4
Org46,1,C5,C05,5-Fluouracil,7.5,uM,Sample,2888,C,5
Org46,1,C6,C06,5-Fluouracil,5,uM,Sample,2889,C,6
Org46,1,C7,C07,5-Fluouracil,2,uM,Sample,2412,C,7
Org46,1,C8,C08,5-Fluouracil,1,uM,Sample,2936,C,8
Org46,1,C9,C09,5-Fluouracil,0.75,uM,Sample,3164,C,9
Org46,1,C10,C10,5-Fluouracil,0.5,uM,Sample,2393,C,10
Org46,1,C11,C11,5-Fluouracil,0.2,uM,Sample,3455,C,11
Org46,1,C12,C12,5-Fluouracil,0.1,uM,Sample,3434,C,12
Org46,1,C13,C13,TritonX,0,uM,negative_control,3047,C,13
Org46,1,C14,C14,Docetaxel,20,uM,Sample,1093,C,14
Org46,1,C15,C15,Docetaxel,10,uM,Sample,1199,C,15
Org46,1,C16,C16,Docetaxel,7.5,uM,Sample,1064,C,16
Org46,1,C17,C17,Docetaxel,5,uM,Sample,978,C,17
Org46,1,C18,C18,Docetaxel,2,uM,Sample,905,C,18
Org46,1,C19,C19,Docetaxel,1,uM,Sample,1102,C,19
Org46,1,C20,C20,Docetaxel,0.75,uM,Sample,772,C,20
Org46,1,C21,C21,Docetaxel,0.5,uM,Sample,1121,C,21
Org46,1,C22,C22,Docetaxel,0.2,uM,Sample,915,C,22
Org46,1,C23,C23,Docetaxel,0.1,uM,Sample,706,C,23
Org46,1,D2,D02,DMSO,0,uM,negative_control,3465,D,2
Org46,1,D3,D03,Leucovorin,20,uM,Sample,3250,D,3
Org46,1,D4,D04,Leucovorin,10,uM,Sample,3815,D,4
Org46,1,D5,D05,Leucovorin,7.5,uM,Sample,3235,D,5
Org46,1,D6,D06,Leucovorin,5,uM,Sample,2564,D,6
Org46,1,D7,D07,Leucovorin,2,uM,Sample,2530,D,7
Org46,1,D8,D08,Leucovorin,1,uM,Sample,3543,D,8
Org46,1,D9,D09,Leucovorin,0.75,uM,Sample,3393,D,9
Org46,1,D10,D10,Leucovorin,0.5,uM,Sample,3366,D,10
Org46,1,D11,D11,Leucovorin,0.2,uM,Sample,4123,D,11
Org46,1,D12,D12,Leucovorin,0.1,uM,Sample,2314,D,12
Org46,1,D13,D13,DMSO,0,uM,negative_control,2159,D,13
Org46,1,D14,D14,Cisplatin,20,uM,Sample,1064,D,14
Org46,1,D15,D15,Cisplatin,10,uM,Sample,1430,D,15
Org46,1,D16,D16,Cisplatin,7.5,uM,Sample,1812,D,16
Org46,1,D17,D17,Cisplatin,5,uM,Sample,2168,D,17
Org46,1,D18,D18,Cisplatin,2,uM,Sample,2468,D,18
Org46,1,D19,D19,Cisplatin,1,uM,Sample,2513,D,19
Org46,1,D20,D20,Cisplatin,0.75,uM,Sample,2548,D,20
Org46,1,D21,D21,Cisplatin,0.5,uM,Sample,3811,D,21
Org46,1,D22,D22,Cisplatin,0.2,uM,Sample,3124,D,22
Org46,1,D23,D23,Cisplatin,0.1,uM,Sample,2850,D,23
Org46,1,E2,E02,Media,0,uM,negative_control,3159,E,2
Org46,1,E3,E03,Irinotecan,20,uM,Sample,468,E,3
Org46,1,E4,E04,Irinotecan,10,uM,Sample,497,E,4
Org46,1,E5,E05,Irinotecan,7.5,uM,Sample,588,E,5
Org46,1,E6,E06,Irinotecan,5,uM,Sample,838,E,6
Org46,1,E7,E07,Irinotecan,2,uM,Sample,767,E,7
Org46,1,E8,E08,Irinotecan,1,uM,Sample,1483,E,8
Org46,1,E9,E09,Irinotecan,0.75,uM,Sample,1174,E,9
Org46,1,E10,E10,Irinotecan,0.5,uM,Sample,2405,E,10
Org46,1,E11,E11,Irinotecan,0.2,uM,Sample,2672,E,11
Org46,1,E12,E12,Irinotecan,0.1,uM,Sample,2502,E,12
Org46,1,E13,E13,Media,0,uM,negative_control,2246,E,13
Org46,1,E14,E14,Paclitaxel,20,uM,Sample,990,E,14
Org46,1,E15,E15,Paclitaxel,10,uM,Sample,1047,E,15
Org46,1,E16,E16,Paclitaxel,7.5,uM,Sample,1075,E,16
Org46,1,E17,E17,Paclitaxel,5,uM,Sample,914,E,17
Org46,1,E18,E18,Paclitaxel,2,uM,Sample,971,E,18
Org46,1,E19,E19,Paclitaxel,1,uM,Sample,713,E,19
Org46,1,E20,E20,Paclitaxel,0.75,uM,Sample,860,E,20
Org46,1,E21,E21,Paclitaxel,0.5,uM,Sample,720,E,21
Org46,1,E22,E22,Paclitaxel,0.2,uM,Sample,918,E,22
Org46,1,E23,E23,Paclitaxel,0.1,uM,Sample,1257,E,23
Org46,1,F2,F02,TritonX,0,uM,negative_control,3189,F,2
Org46,1,F3,F03,Oxaliplatin,20,uM,Sample,1980,F,3
Org46,1,F4,F04,Oxaliplatin,10,uM,Sample,2560,F,4
Org46,1,F5,F05,Oxaliplatin,7.5,uM,Sample,2301,F,5
Org46,1,F6,F06,Oxaliplatin,5,uM,Sample,2848,F,6
Org46,1,F7,F07,Oxaliplatin,2,uM,Sample,3004,F,7
Org46,1,F8,F08,Oxaliplatin,1,uM,Sample,4361,F,8
Org46,1,F9,F09,Oxaliplatin,0.75,uM,Sample,2822,F,9
Org46,1,F10,F10,Oxaliplatin,0.5,uM,Sample,3294,F,10
Org46,1,F11,F11,Oxaliplatin,0.2,uM,Sample,3378,F,11
Org46,1,F12,F12,Oxaliplatin,0.1,uM,Sample,3354,F,12
Org46,1,F13,F13,TritonX,0,uM,negative_control,2923,F,13
