Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org64,3,B2,B02,Media,0,uM,negative_control,25573,B,2
Org64,3,B3,B03,Staurosporine,20,uM,positive_control,415,B,3
Org64,3,B4,B04,Staurosporine,10,uM,positive_control,395,B,4
Org64,3,B5,B05,Staurosporine,7.5,uM,positive_control,803,B,5
Org64,3,B6,B06,Staurosporine,5,uM,positive_control,1231,B,6
Org64,3,B7,B07,Staurosporine,2,uM,positive_control,1718,B,7
Org64,3,B8,B08,Staurosporine,1,uM,positive_control,1139,B,8
Org64,3,B9,B09,Staurosporine,0.75,uM,positive_control,1030,B,9
Org64,3,B10,B10,Staurosporine,0.5,uM,positive_control,1155,B,10
Org64,3,B11,B11,Staurosporine,0.2,uM,positive_control,1869,B,11
Org64,3,B12,B12,Staurosporine,0.1,uM,positive_control,2758,B,12
Org64,3,B13,B13,Media,0,uM,negative_control,20014,B,13
Org64,3,B14,B14,Carboplatin,20,uM,Sample,11129,B,14
Org64,3,B15,B15,Carboplatin,10,uM,Sample,12680,B,15
Org64,3,B16,B16,Carboplatin,7.5,uM,Sample,10802,B,16
Org64,3,B17,B17,Carboplatin,5,uM,Sample,14431,B,17
Org64,3,B18,B18,Carboplatin,2,uM,Sample,14855,B,18
Org64,3,B19,B19,Carboplatin,1,uM,Sample,16756,B,19
Org64,3,B20,B20,Carboplatin,0.75,uM,Sample,17860,B,20
Org64,3,B21,B21,Carboplatin,0.5,uM,Sample,19065,B,21
Org64,3,B22,B22,Carboplatin,0.2,uM,Sample,21349,B,22
Org64,3,B23,B23,Carboplatin,0.1,uM,Sample,23106,B,23
Org64,3,C2,C02,TritonX,0,uM,negative_control,17531,C,2
Org64,3,C3,C03,5-Fluouracil,20,uM,Sample,12057,C,3
Org64,3,C4,C04,5-Fluouracil,10,uM,Sample,13340,C,4
Org64,3,C5,C05,5-Fluouracil,7.5,uM,Sample,13780,C,5
Org64,3,C6,C06,5-Fluouracil,5,uM,Sample,15521,C,6
Org64,3,C7,C07,5-Fluouracil,2,uM,Sample,17209,C,7
Org64,3,C8,C08,5-Fluouracil,1,uM,Sample,17358,C,8
Org64,3,C9,C09,5-Fluouracil,0.75,uM,Sample,14968,C,9
Org64,3,C10,C10,5-Fluouracil,0.5,uM,Sample,18422,C,10
Org64,3,C11,C11,5-Fluouracil,0.2,uM,Sample,22204,C,11
Org64,3,C12,C12,5-Fluouracil,0.1,uM,Sample,19668,C,12
Org64,3,C13,C13,TritonX,0,uM,negative_control,8865,C,13
Org64,3,C14,C14,Docetaxel,20,uM,Sample,8289,C,14
Org64,3,C15,C15,Docetaxel,10,uM,Sample,9069,C,15
Org64,3,C16,C16,Docetaxel,7.5,uM,Sample,7821,C,16
Org64,3,C17,C17,Docetaxel,5,uM,Sample,8999,C,17
Org64,3,C18,C18,Docetaxel,2,uM,Sample,6769,C,18
Org64,3,C19,C19,Docetaxel,1,uM,Sample,6654,C,19
Org64,3,C20,C20,Docetaxel,0.75,uM,Sample,6410,C,20
Org64,3,C21,C21,Docetaxel,0.5,uM,Sample,5587,C,21
Org64,3,C22,C22,Docetaxel,0.2,uM,Sample,5569,C,22
Org64,3,C23,C23,Docetaxel,0.1,uM,Sample,5474,C,23
Org64,3,D2,D02,DMSO,0,uM,negative_control,22307,D,2
Org64,3,D3,D03,Leucovorin,20,uM,Sample,14771,D,3
Org64,3,D4,D04,Leucovorin,10,uM,Sample,20263,D,4
