Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org41,2,B2,B02,Media,0,uM,negative_control,5846,B,2
Org41,2,B3,B03,Staurosporine,20,uM,positive_control,122,B,3
Org41,2,B4,B04,Staurosporine,10,uM,positive_control,72,B,4
Org41,2,B5,B05,Staurosporine,7.5,uM,positive_control,111,B,5
Org41,2,B6,B06,Staurosporine,5,uM,positive_control,160,B,6
Org41,2,B7,B07,Staurosporine,2,uM,positive_control,176,B,7
Org41,2,B8,B08,Staurosporine,1,uM,positive_control,188,B,8
Org41,2,B9,B09,Staurosporine,0.75,uM,positive_control,121,B,9
Org41,2,B10,B10,Staurosporine,0.5,uM,positive_control,716,B,10
Org41,2,B11,B11,Staurosporine,0.2,uM,positive_control,1328,B,11
Org41,2,B12,B12,Staurosporine,0.1,uM,positive_control,1770,B,12
Org41,2,B13,B13,Media,0,uM,negative_control,8482,B,13
Org41,2,B14,B14,Carboplatin,20,uM,Sample,5356,B,14
Org41,2,B15,B15,Carboplatin,10,uM,Sample,5455,B,15
Org41,2,B16,B16,Carboplatin,7.5,uM,Sample,7398,B,16
Org41,2,B17,B17,Carboplatin,5,uM,Sample,7431,B,17
Org41,2,B18,B18,Carboplatin,2,uM,Sample,8674,B,18
Org41,2,B19,B19,Carboplatin,1,uM,Sample,6322,B,19
Org41,2,B20,B20,Carboplatin,0.75,uM,Sample,6768,B,20
Org41,2,B21,B21,Carboplatin,0.5,uM,Sample,9806,B,21
Org41,2,B22,B22,Carboplatin,0.2,uM,Sample,7509,B,22
Org41,2,B23,B23,Carboplatin,0.1,uM,Sample,8282,B,23
Org41,2,C2,C02,TritonX,0,uM,negative_control,6186,C,2
Org41,2,C3,C03,5-Fluouracil,20,uM,Sample,5534,C,3
Org41,2,C4,C04,5-Fluouracil,10,uM,Sample,6663,C,4
Org41,2,C5,C05,5-Fluouracil,7.5,uM,Sample,7637,C,5
Org41,2,C6,C06,5-Fluouracil,5,uM,Sample,7286,C,6
Org41,2,C7,C07,5-Fluouracil,2,uM,Sample,7116,C,7
Org41,2,C8,C08,5-Fluouracil,1,uM,Sample,7054,C,8
Org41,2,C9,C09,5-Fluouracil,0.75,uM,Sample,7274,C,9
Org41,2,C10,C10,5-Fluouracil,0.5,uM,Sample,8940,C,10
Org41,2,C11,C11,5-Fluouracil,0.2,uM,Sample,9297,C,11
Org41,2,C12,C12,5-Fluouracil,0.1,uM,Sample,9251,C,12
Org41,2,C13,C13,TritonX,0,uM,negative_control,8000,C,13
Org41,2,C14,C14,Docetaxel,20,uM,Sample,2802,C,14
Org41,2,C15,C15,Docetaxel,10,uM,Sample,3422,C,15
Org41,2,C16,C16,Docetaxel,7.5,uM,Sample,3346,C,16
Org41,2,C17,C17,Docetaxel,5,uM,Sample,4118,C,17
Org41,2,C18,C18,Docetaxel,2,uM,Sample,2815,C,18
Org41,2,C19,C19,Docetaxel,1,uM,Sample,3560,C,19
Org41,2,C20,C20,Docetaxel,0.75,uM,Sample,3029,C,20
Org41,2,C21,C21,Docetaxel,0.5,uM,Sample,3146,C,21
Org41,2,C22,C22,Docetaxel,0.2,uM,Sample,3194,C,22
Org41,2,C23,C23,Docetaxel,0.1,uM,Sample,2721,C,23
Org41,2,D2,D02,DMSO,0,uM,negative_control,7448,D,2
Org41,2,D3,D03,Leucovorin,20,uM,Sample,7086,D,3
Org41,2,D4,D04,Leucovorin,10,uM,Sample,9047,D,4
Org41,2,D5,D05,Leucovorin,7.5,uM,Sample,8331,D,5
Org41,2,D6,D06,Leucovorin,5,uM,Sample,8333,D,6
Org41,2,D7,D07,Leucovorin,2,uM,Sample,9163,D,7
Org41,2,D8,D08,Leucovorin,1,uM,Sample,8949,D,8
Org41,2,D9,D09,Leucovorin,0.75,uM,Sample,7247,D,9
Org41,2,D10,D10,Leucovorin,0.5,uM,Sample,7708,D,10
Org41,2,D11,D11,Leucovorin,0.2,uM,Sample,8598,D,11
Org41,2,D12,D12,Leucovorin,0.1,uM,Sample,8656,D,12
Org41,2,D13,D13,DMSO,0,uM,negative_control,7065,D,13
Org41,2,D14,D14,Cisplatin,20,uM,Sample,1947,D,14
Org41,2,D15,D15,Cisplatin,10,uM,Sample,3247,D,15
Org41,2,D16,D16,Cisplatin,7.5,uM,Sample,6482,D,16
