Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org65,1,B2,B02,Media,0,uM,negative_control,18371,B,2
Org65,1,B3,B03,Staurosporine,20,uM,positive_control,960,B,3
Org65,1,B4,B04,Staurosporine,10,uM,positive_control,1653,B,4
Org65,1,B5,B05,Staurosporine,7.5,uM,positive_control,2518,B,5
Org65,1,B6,B06,Staurosporine,5,uM,positive_control,2488,B,6
Org65,1,B7,B07,Staurosporine,2,uM,positive_control,3642,B,7
Org65,1,B8,B08,Staurosporine,1,uM,positive_control,3684,B,8
Org65,1,B9,B09,Staurosporine,0.75,uM,positive_control,3493,B,9
Org65,1,B10,B10,Staurosporine,0.5,uM,positive_control,4378,B,10
Org65,1,B11,B11,Staurosporine,0.2,uM,positive_control,6542,B,11
Org65,1,B12,B12,Staurosporine,0.1,uM,positive_control,8136,B,12
Org65,1,B13,B13,Media,0,uM,negative_control,16527,B,13
Org65,1,B14,B14,Carboplatin,20,uM,Sample,12478,B,14
Org65,1,B15,B15,Carboplatin,10,uM,Sample,13236,B,15
Org65,1,B16,B16,Carboplatin,7.5,uM,Sample,13706,B,16
Org65,1,B17,B17,Carboplatin,5,uM,Sample,15920,B,17
Org65,1,B18,B18,Carboplatin,2,uM,Sample,17513,B,18
Org65,1,B19,B19,Carboplatin,1,uM,Sample,15808,B,19
Org65,1,B20,B20,Carboplatin,0.75,uM,Sample,19409,B,20
Org65,1,B21,B21,Carboplatin,0.5,uM,Sample,17674,B,21
Org65,1,B22,B22,Carboplatin,0.2,uM,Sample,18853,B,22
Org65,1,B23,B23,Carboplatin,0.1,uM,Sample,16092,B,23
Org65,1,C2,C02,TritonX,0,uM,negative_control,14602,C,2
Org65,1,C3,C03,5-Fluouracil,20,uM,Sample,13054,C,3
Org65,1,C4,C04,5-Fluouracil,10,uM,Sample,13471,C,4
Org65,1,C5,C05,5-Fluouracil,7.5,uM,Sample,14424,C,5
Org65,1,C6,C06,5-Fluouracil,5,uM,Sample,13164,C,6
Org65,1,C7,C07,5-Fluouracil,2,uM,Sample,12344,C,7
Org65,1,C8,C08,5-Fluouracil,1,uM,Sample,13977,C,8
Org65,1,C9,C09,5-Fluouracil,0.75,uM,Sample,14170,C,9
Org65,1,C10,C10,5-Fluouracil,0.5,uM,Sample,13817,C,10
Org65,1,C11,C11,5-Fluouracil,0.2,uM,Sample,15685,C,11
Org65,1,C12,C12,5-Fluouracil,0.1,uM,Sample,14654,C,12
Org65,1,C13,C13,TritonX,0,uM,negative_control,14038,C,13
Org65,1,C14,C14,Docetaxel,20,uM,Sample,10792,C,14
Org65,1,C15,C15,Docetaxel,10,uM,Sample,10929,C,15
Org65,1,C16,C16,Docetaxel,7.5,uM,Sample,10971,C,16
